,date,year,month,day,area,place,title
144,2016/5/13,2016,5,13,Africa, 烏干達,烏干達總統就職典禮，西方各國代表離席抗議 
145,2016/5/12,2016,5,12,Africa, 烏干達,烏干達總統就職前夕，警方逮捕反對黨領袖 
146,2016/5/12,2016,5,12,Africa, 衣索匹亞,衣索匹亞暴雨引發土石流，奪走數十條人命 
147,2016/5/10,2016,5,10,Africa, 肯亞,肯亞警方動用催淚瓦斯驅離抗議民眾 
148,2016/5/10,2016,5,10,Africa, 盧安達,盧安達大雨引發土石流，至少53死 
149,2016/5/9,2016,5,9,Africa, 肯亞,肯亞擬關閉國內所有難民營，60萬人將流離失所 
150,2016/5/9,2016,5,9,Africa, 埃及,埃及8名警察遇襲身亡，「伊斯蘭國」坦承犯案 
151,2016/5/6,2016,5,6,Africa, 奈及利亞,美國有意出售輕型攻擊機，助奈及利亞圍剿激進組織「博科聖地」 
152,2016/5/4,2016,5,4,Africa, 奈及利亞,前任政府涉武器採購弊案，奈國損失約150億美元 
153,2016/5/4,2016,5,4,Africa, 辛巴威,遭逢嚴重乾旱，辛巴威出售野生動物 
154,2016/5/3,2016,5,3,Africa, 肯亞,IMF：撒哈拉以南非洲經濟成長將創16年來新低 
155,2016/5/3,2016,5,3,Africa, 埃及,2名記者遭逮捕，埃及記者協會發動抗議 
156,2016/5/2,2016,5,2,Africa, 埃及,埃及警方阻止勞工紀念國際勞動節 
157,2016/5/2,2016,5,2,Africa, 肯亞,肯亞銷毀大量象牙，展現保護非洲象之決心 
158,2016/4/29,2016,4,29,Africa, 莫三比克,英國暫緩向莫三比克提供金援 
159,2016/4/28,2016,4,28,Africa, 奈及利亞,「歐盟」將與奈及利亞就遣返經濟移民展開協商 
160,2016/4/27,2016,4,27,Africa, 南蘇丹,南蘇丹叛軍領袖重返首都擔任副總統 
161,2016/4/25,2016,4,25,Africa, 埃及,面對抗議聲浪，埃及總統呼籲人民捍衛國家 
162,2016/4/25,2016,4,25,Africa, 蘇丹,蘇丹達佛公投出爐，將維持5個省的行政狀態 
163,2016/4/22,2016,4,22,Africa, 南非,南非總統公布軍售弊案調查報告，證明自己清白 
164,2016/4/22,2016,4,22,Africa, 查德,查德公布總統大選結果，現任總統德比5度連任 
165,2016/4/21,2016,4,21,Africa, 南蘇丹,南蘇丹交戰雙方達成共識，叛軍領袖將返國共組團結政府 
166,2016/4/20,2016,4,20,Africa, 尚比亞,尚比亞首都發生排外暴動，逾250人被捕 
167,2016/4/20,2016,4,20,Africa, 南蘇丹,南蘇丹和平協議遲未落實，聯合國表達關切 
168,2016/4/19,2016,4,19,Africa, 馬利,紅十字國際委員會：3名工作人員在馬利北部失聯 
169,2016/4/19,2016,4,19,Africa, 衣索比亞,衣索比亞軍隊試圖搶救遭南蘇丹穆勒族挾持之孩童 
170,2016/4/18,2016,4,18,Africa, 利比亞,德法外長共同出訪利比亞，展現對新政府之支持立場 
171,2016/4/18,2016,4,18,Africa, 衣索比亞,衣索比亞：南蘇丹武裝分子在邊界地區殺害140人 
172,2016/4/15,2016,4,15,Africa, 迦納,迦納政府文件示警：伊斯蘭武裝分子鎖定迦納與鄰國多哥 
173,2016/4/14,2016,4,14,Africa, 蘇丹,蘇丹達佛完成公投，叛軍指控政府操縱投票 
174,2016/4/14,2016,4,14,Africa, 奈及利亞,激進組織「博科聖地」釋影片，證明遭綁架女學生中仍有存活者 
175,2016/4/13,2016,4,13,Africa, 奈及利亞,聯合國：「博科聖地」利用更多孩童發動自殺炸彈攻擊 
176,2016/4/12,2016,4,12,Africa, 奈及利亞,土耳其貨輪在奈及利亞外海遭海盜攻擊，6名船員遭挾持 
177,2016/4/11,2016,4,11,Africa, 蘇丹,蘇丹達佛地區將就其行政地位舉行公投 
178,2016/4/8,2016,4,8,Africa, 肯亞,肯亞總統籲德國擴大對非洲投資 
179,2016/4/7,2016,4,7,Africa, 奈及利亞,西非「拉薩熱」疫情已致164死 
