,title,date,place
62,聖多美總統杯葛總統大選第二輪選舉 ,2016.08.08, 聖多美及普林西比
63,南非地方選舉，執政黨恐輸掉主要城市 ,2016.08.05, 南非
64,南非地方選舉，執政黨面臨苦戰 ,2016.08.04, 南非
65,美軍對利比亞境內「伊斯蘭國」發動空襲 ,2016.08.02, 利比亞
66,突尼西亞國會通過總理不信任案 ,2016.08.01, 突尼西亞
67,索馬利亞首都機場附近傳汽車炸彈攻擊 ,2016.07.27, 索馬利亞
68,利比亞政府軍從「伊斯蘭國」奪回蘇爾特安全總部 ,2016.07.26, 利比亞
69,南蘇丹反對派陣營撤換領導人 ,2016.07.25, 南蘇丹
70,甘比亞反對黨領袖遭判刑3年 ,2016.07.22, 甘比亞
71,3名法籍士兵在利比亞喪生 ,2016.07.21, 利比亞
72,馬利軍事基地遭伊斯蘭激進分子攻擊 ,2016.07.20, 馬利
73,「聯合國兒童基金會」：奈及利亞近25萬名兒童營養不良 ,2016.07.19, 奈及利亞
74,時隔32年，摩洛哥尋求重新加入「非洲聯盟」 ,2016.07.18, 摩洛哥
75,烏干達部隊赴南蘇丹撤僑 ,2016.07.15, 南蘇丹
76,逾7成南蘇丹人急需人道救助 ,2016.07.13, 南蘇丹
77,索馬利亞軍事基地遭自殺炸彈攻擊，8人身亡 ,2016.07.12, 索馬利亞
78,南蘇丹首都爆發激戰，至少272人喪生 ,2016.07.11, 南蘇丹
79,印度總理出訪非洲4國 ,2016.07.07, 莫三比克
80,「非洲聯盟」推出「單一護照制」 ,2016.07.06, 盧安達
81,索馬利亞公車遭路邊炸彈攻擊，至少14人喪生 ,2016.07.01, 索馬利亞
82,「聯合國」：480萬南蘇丹人將嚴重缺糧 ,2016.06.30, 南蘇丹
83,埃及將英籍黎巴嫩裔政論節目主持人驅逐出境 ,2016.06.29, 埃及
84,南非總統公款私用，財政部追討50萬美元 ,2016.06.28, 南非
85,"奈及利亞部隊自「博科聖地」手中救出5,000名人質 ",2016.06.27, 奈及利亞
86,維和部隊坐視南蘇丹難民營遇襲，「聯合國」要求撤回 ,2016.06.24, 南蘇丹
87,無國界醫生：奈及利亞難民營近200人餓死 ,2016.06.23, 奈及利亞
88,國際刑事法庭：剛果前副總統犯下戰爭罪，判刑18年 ,2016.06.22, 剛果
89,肯亞5名員警遇襲身亡，「索馬利亞青年黨」疑為主謀 ,2016.06.21, 肯亞
90,埃航MS804失事班機尋獲黑盒子 ,2016.06.20, 埃及
91,利比亞又傳自殺汽車炸彈襲擊，10死7傷 ,2016.06.17, 利比亞
92,厄立垂亞與衣索匹亞爆發邊界衝突 ,2016.06.16, 厄立垂亞
93,印度總統稱將在迦納提高貿易投資額 ,2016.06.15, 迦納
94,利比亞自「伊斯蘭國」奪回關鍵城市 ,2016.06.14, 利比亞
95,印度總統出訪迦納等非洲3國 ,2016.06.13, 迦納
96,英澳警告：南非面臨恐攻威脅 ,2016.06.07, 南非
